860,484
825,483
808,483
794,483
778,483
766,484
747,485
729,486
717,487
704,488
691,488
676,489
660,491
645,492
630,493
617,495
605,498
595,500
587,502
581,505
577,506
572,509
571,511
571,512
571,513
571,514
570,515
570,516
569,517
568,519
565,522
562,525
560,527
557,528
555,529
553,530
551,531
550,532
549,532
548,533
547,533
546,533
544,534
542,535
539,535
536,535
533,535
530,535
527,535
524,535
522,534
520,533
519,532
518,531
518,530
518,529
518,528
517,527
516,524
515,523
514,520
514,518
514,517
514,516
514,515
514,514
515,514
516,514
517,514
518,514
518,513
519,513
520,513
521,512
522,512
523,512
525,511
527,510
530,510
533,509
537,508
540,507
545,506
549,505
554,503
559,502
566,500
569,499
574,498
580,496
586,495
590,494
595,492
600,490
605,488
611,486
616,484
620,483
624,481
629,479
633,477
638,475
642,473
645,471
650,469
654,466
658,463
662,461
665,458
669,456
674,452
683,446
691,440
696,436
703,432
710,427
712,425
715,424
718,422
721,420
724,418
726,416
730,414
733,411
737,409
740,407
743,405
746,403
748,402
750,401
752,400
754,399
755,399
756,398
757,398
758,397
759,397
760,396
762,395
764,394
766,393
767,392
768,392
769,391
