863,587,0.0168
863,586,0.068
862,585,0.08
861,584,0.05
861,583,0.01
860,583,0.04
860,582,0.01
859,582,0.04
858,581,0.04
857,580,0.03
856,579,0.03
855,578,0.03
854,577,0.03
853,577,0.01
853,576,0.01
852,576,0.02
852,575,0.01
851,575,0.01
851,574,0.01
850,574,0.03
849,573,0.01
848,573,0.01
847,572,0.03
847,571,0.00
846,571,0.01
845,571,0.01
845,570,0.05
844,570,0.00
842,568,0.06
841,567,0.00
839,566,0.01
838,566,0.01
838,565,0.01
837,565,0.01
837,564,0.01
836,564,0.01
835,564,0.01
835,563,0.01
834,563,0.01
833,562,0.02
832,562,0.04
830,560,0.02
829,559,0.02
828,558,0.01
827,558,0.02
826,557,0.02
825,557,0.01
825,556,0.01
824,556,0.02
824,555,0.01
823,555,0.01
822,554,0.02
821,554,0.01
821,553,0.01
820,553,0.02
819,553,0.01
819,552,0.01
818,552,0.02
818,551,0.01
817,551,0.03
816,550,0.01
815,550,0.02
814,549,0.03
813,549,0.01
813,548,0.05
812,548,0.00
811,547,0.01
810,547,0.06
808,545,0.01
807,545,0.03
806,545,0.02
806,544,0.01
805,544,0.02
804,543,0.05
803,543,0.00
802,542,0.02
801,542,0.02
801,541,0.01
800,541,0.02
799,541,0.02
799,540,0.01
798,540,0.04
797,539,0.01
796,539,0.02
795,539,0.01
795,538,0.02
794,538,0.02
793,538,0.01
793,537,0.01
792,537,0.03
791,537,0.02
791,536,0.01
790,536,0.04
789,535,0.01
788,535,0.03
787,534,0.04
786,534,0.02
786,533,0.04
784,533,0.01
784,532,0.01
783,532,0.05
782,531,0.01
781,531,0.02
781,530,0.01
780,530,0.04
779,530,0.01
779,529,0.02
778,529,0.03
777,528,0.04
776,528,0.02
776,527,0.01
775,527,0.03
775,526,0.01
774,526,0.03
774,525,0.01
773,525,0.03
772,525,0.02
772,524,0.03
771,524,0.03
770,523,0.04
769,523,0.02
769,522,0.03
768,522,0.02
768,521,0.04
767,521,0.01
766,521,0.01
766,520,0.04
765,520,0.02
765,519,0.05
764,519,0.01
764,518,0.01
763,518,0.04
762,517,0.06
761,517,0.02
761,516,0.03
760,516,0.04
760,515,0.01
759,515,0.06
759,514,0.02
758,514,0.03
757,514,0.03
757,513,0.05
756,513,0.06
756,512,0.03
755,512,0.09
755,511,0.01
754,511,0.013
753,511,0.01
753,510,0.012
752,510,0.08
752,509,0.07
751,509,0.011
751,508,0.02
750,508,0.011
749,508,0.02
749,507,0.06
748,507,0.09
747,506,0.04
746,505,0.06
745,505,0.01
745,504,0.06
744,504,0.04
744,503,0.02
743,503,0.08
742,502,0.07
741,502,0.02
741,501,0.05
740,501,0.04
740,500,0.03
739,500,0.07
738,499,0.08
737,499,0.01
737,498,0.09
736,498,0.08
736,497,0.084
735,497,0.07
734,497,0.07
